internalName,title,metacriticLink,dealID,storeID,gameID,salePrice,normalPrice,isOnSale,savings,metacriticScore,steamRatingText,steamRatingPercent,steamRatingCount,steamAppID,releaseDate,lastChange,dealRating,thumb
BOXMAZEEXTREME,Box Maze Extreme,,Ek%2B6T9OsooEqCLMV7QW8NraX7XIc7KQn1pHrh92PdVc%3D,1,185502,0.28,0.99,1,71.717172,0,,0,0,818890,0,1685316353,1.7,https://cdn.cloudflare.steamstatic.com/steam/apps/818890/capsule_sm_120.jpg?t=1662991099
DISTRICT112INCIDENTBOWLINGALLEY,District 112 Incident: Bowling Alley,,4xd8P2SYxL221Mh36LA98dnXcs7QJYfJYXloi2N2254%3D,1,186892,0.28,0.99,1,71.717172,0,Mixed,53,15,809180,0,1685995100,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/809180/capsule_sm_120.jpg?t=1634479604
HUBESEEKEROFACHIEVEMENTS,HUBE: Seeker of Achievements,/game/pc/hube-seeker-of-achievements,rKxO%2BraiM1766dUZ4YUfYngl4KAD%2BJKGBlGUlAUbO9Y%3D,1,187123,0.28,0.99,1,71.717172,0,Mostly Positive,76,120,857010,1526428800,1685992581,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/857010/capsule_sm_120.jpg?t=1570904080
ADVENTURESOFMIKE,Adventures of Mike,/game/pc/adventures-of-mike,Z%2F00yr7DPw0qIo6UhenbH1cTN5T%2FO56khEllIbUU5bY%3D,1,187487,0.28,0.99,1,71.717172,0,,0,0,858180,1527120000,1685652832,2.3,https://cdn.cloudflare.steamstatic.com/steam/apps/858180/capsule_sm_120.jpg?t=1527193041
ORIX,ORIX!,/game/pc/orix!,KXVGG92aM9bh4hjz%2FjKSAwbk4%2FhlcCP8QkN5yRy2JSY%3D,1,187705,0.28,0.99,1,71.717172,0,Mixed,60,78,863980,1527552000,1685994062,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/863980/capsule_sm_120.jpg?t=1580497094
THEWORLDOFLABYRINTHSLABYRONIA,The World of Labyrinths: Labyronia,/game/pc/the-world-of-labyrinths-labyronia,uQE%2BN5GrSV2XJWTyDhSnx0uR5aH%2FnPfVkqlFQ8mia7M%3D,1,187867,0.28,0.99,1,71.717172,0,Positive,90,20,864740,1527811200,1685986359,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/864740/capsule_sm_120.jpg?t=1684543893
WINTHEGAMEWTF,WIN THE GAME: WTF!,/game/pc/win-the-game-wtf!,aiY3D9R1b2LqUmVt1nKDJIHgRpBrv6%2F%2FCpSk9cqVIDg%3D,1,188049,0.28,0.99,1,71.717172,0,Very Positive,81,149,867140,1528243200,1685987020,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/867140/capsule_sm_120.jpg?t=1570903927
1,1,,5i%2BfXVjLWYG6%2F1%2BO4b4zHpKm5tvySE%2BwJOYYKxz8JAg%3D,1,190254,0.28,0.99,1,71.717172,0,Mixed,69,73,850820,0,1685884316,2.7,https://cdn.cloudflare.steamstatic.com/steam/apps/850820/capsule_sm_120.jpg?t=1683504755
WTF,WTF,,5W5AX5u59xmIAwIhu%2F4ifD7XJcM6dfNIPa8QDRo%2F2aY%3D,1,190302,0.28,0.99,1,71.717172,0,Mixed,53,141,854770,0,1685994669,2.8,https://cdn.cloudflare.steamstatic.com/steam/apps/854770/capsule_sm_120.jpg?t=1654563421
NAVIGATOR,Navigator,/game/pc/navigator,DWxhJiLYqodSu8f13HJI0KR3iEUstZuIzUhNg%2FNBHqI%3D,1,190389,0.28,0.99,1,71.717172,0,,0,0,896370,1532908800,1685317494,1.7,https://cdn.cloudflare.steamstatic.com/steam/apps/896370/capsule_sm_120.jpg?t=1532952684
