storeID,storeName,isActive,execution_datetime
1,Steam,1,2023/06/12 21:39:35
2,GamersGate,1,2023/06/12 21:39:35
3,GreenManGaming,1,2023/06/12 21:39:35
4,Amazon,0,2023/06/12 21:39:35
5,GameStop,0,2023/06/12 21:39:35
6,Direct2Drive,0,2023/06/12 21:39:35
7,GOG,1,2023/06/12 21:39:35
8,Origin,1,2023/06/12 21:39:35
9,Get Games,0,2023/06/12 21:39:35
10,Shiny Loot,0,2023/06/12 21:39:35
11,Humble Store,1,2023/06/12 21:39:35
12,Desura,0,2023/06/12 21:39:35
13,Uplay,1,2023/06/12 21:39:35
14,IndieGameStand,0,2023/06/12 21:39:35
15,Fanatical,1,2023/06/12 21:39:35
16,Gamesrocket,0,2023/06/12 21:39:35
17,Games Republic,0,2023/06/12 21:39:35
18,SilaGames,0,2023/06/12 21:39:35
19,Playfield,0,2023/06/12 21:39:35
20,ImperialGames,0,2023/06/12 21:39:35
21,WinGameStore,1,2023/06/12 21:39:35
22,FunStockDigital,0,2023/06/12 21:39:35
23,GameBillet,1,2023/06/12 21:39:35
24,Voidu,1,2023/06/12 21:39:35
25,Epic Games Store,1,2023/06/12 21:39:35
26,Razer Game Store,0,2023/06/12 21:39:35
27,Gamesplanet,1,2023/06/12 21:39:35
28,Gamesload,1,2023/06/12 21:39:35
29,2Game,1,2023/06/12 21:39:35
30,IndieGala,1,2023/06/12 21:39:35
31,Blizzard Shop,1,2023/06/12 21:39:35
32,AllYouPlay,0,2023/06/12 21:39:35
33,DLGamer,1,2023/06/12 21:39:35
34,Noctre,1,2023/06/12 21:39:35
35,DreamGame,1,2023/06/12 21:39:35
